,n_1,n_2
0,-28.1343,49.949543
1,-28.132923,49.95123
2,-28.12937,49.952732
3,-28.127083,49.95493
4,-28.124706,49.954422
5,-28.122807,49.95533
6,-28.11998,49.956123
7,-28.118898,49.959106
8,-28.11868,49.96083
9,-28.117418,49.963913
10,-77.64933,-26.016064
11,-77.64639,-26.016096
12,-77.643265,-26.01549
13,-17.130915,63.125957
14,-17.138046,63.135258
15,-17.14274,63.142418
16,-17.148651,63.148613
17,-17.128685,63.121403
18,-17.128277,63.117893
19,-17.126505,63.11677
20,-17.126148,63.11181
21,-17.126993,63.118176
22,-31.203728,-73.04815
23,-31.17873,-73.02994
24,-31.148108,-73.00356
25,-31.123297,-72.97687
26,-31.08868,-72.94225
27,-31.061924,-72.91661
28,-31.02106,-72.88111
29,-30.988697,-72.84979
30,-30.93659,-72.80657
31,-30.87997,-72.75629
32,-30.810944,-72.6971
33,-30.711576,-72.61255
34,-30.689856,-72.5907
35,-30.683407,-72.59058
36,-30.7241,-72.62193
37,-30.715633,-72.61885
38,-30.697657,-72.60251
39,-60.323795,-7.086032
40,-60.331375,-7.0828648
41,-60.336338,-7.0778184
42,-60.335682,-7.0838547
43,-60.32551,-7.1074343
44,-60.333897,-7.0938234
45,-1.3614017,67.79163
46,-1.3729615,67.79629
47,-1.3525184,67.78287
48,-1.3466014,67.77153
49,-1.3389667,67.75941
50,-1.3923455,67.80314
51,-1.4048418,67.80699
52,-1.4168409,67.80831
53,-1.4714997,67.801056
54,-1.4564486,67.8029
55,-1.4339998,67.80812
56,-49.887318,-21.728289
57,-49.86997,-21.727226
58,-49.84917,-21.727816
59,-49.828342,-21.725946
60,-49.805035,-21.721575
61,-49.781574,-21.71666
62,-49.76497,-21.712711
63,-49.74189,-21.705015
64,-49.725662,-21.701654
65,-49.69997,-21.69028
66,-49.67589,-21.682833
67,-49.6607,-21.67497
68,-49.645077,-21.675852
69,-49.638184,-21.67298
70,-2.5642164,74.91907
71,-2.5477014,74.848976
72,-2.5781922,74.98168
73,-2.5956912,75.05701
74,-2.6140063,75.13058
75,-2.6293252,75.18619
76,-2.6468961,75.24415
77,-2.6582818,75.28138
78,-2.6714659,75.325066
79,-2.6818466,75.3562
80,-2.6988165,75.399254
81,-2.5013597,74.674995
82,-2.516178,74.72254
83,-2.5234976,74.75075
84,-2.5355093,74.79782
85,-2.489617,74.64446
86,-2.4815876,74.62317
87,-21.396658,-84.08194
88,-21.408543,-84.08006
89,-21.474953,-84.08294
90,-21.488598,-84.08208
91,-21.4384,-84.087875
92,-21.428875,-84.08434
93,-21.419596,-84.08051
94,-21.445595,-84.0884
95,-21.454391,-84.08723
96,-21.464302,-84.08582
97,-60.873623,-4.6560903
98,-60.8771,-4.659121
99,-60.880405,-4.654637
100,-60.88917,-4.650777
101,-0.9156068,68.24356
102,-0.9258769,68.2472
103,-0.94511724,68.25739
104,-0.93653554,68.25145
105,-0.8164037,68.24314
106,-0.83504367,68.240234
107,-0.85065806,68.23888
108,-0.8814422,68.23823
109,-0.86846447,68.237946
110,-24.7203,-75.53893
111,-24.760744,-75.52051
112,-24.707626,-75.59346
113,-24.752333,-75.5409
114,-24.701242,-75.61768
115,-24.699703,-75.63088
116,-24.699364,-75.6456
117,-24.700663,-75.65675
118,-24.701,-75.67174
119,-24.703215,-75.68312
120,-24.709023,-75.69361
121,-24.712791,-75.70253
122,-24.715029,-75.71795
123,-24.713741,-75.70946
124,-21.503183,-78.38492
125,-21.533615,-78.34107
126,-21.538464,-78.33675
127,-21.542465,-78.335434
128,-21.546745,-78.33704
129,-21.527845,-78.34764
130,-21.523949,-78.35443
131,-21.530588,-78.34296
132,-21.520489,-78.35772
133,-21.505192,-78.37918
134,-21.507454,-78.3697
135,-21.511524,-78.36582
136,-21.516443,-78.36373
137,-21.508326,-78.374275
138,-61.778526,-3.3563561
139,-61.777885,-3.3491106
140,-61.783363,-3.360715
141,-61.785954,-3.3645294
142,-61.791626,-3.3636947
143,-61.794388,-3.3583915
144,-61.798286,-3.3538883
145,-28.950901,-22.230663
146,-28.985308,-22.207108
147,-29.859583,-21.760231
148,-29.899887,-21.740911
149,-29.818895,-21.778675
150,-29.762112,-21.803755
151,-29.687523,-21.835644
152,-29.61631,-21.865477
153,-29.529976,-21.906786
154,-29.464712,-21.93676
155,-29.378765,-21.980482
156,-29.315332,-22.011566
157,-29.161268,-22.095665
158,-29.233013,-22.055357
159,-29.110472,-22.123487
160,-29.067513,-22.149624
161,-29.027584,-22.17462
162,-29.92848,-21.725193
163,-29.954876,-21.709919
164,-32.778873,52.04455
165,-32.777264,52.05077
166,-32.778393,52.036076
167,-32.734493,52.106388
168,-32.7418,52.095417
169,-32.74738,52.087563
170,-32.754948,52.083107
171,-32.758385,52.07752
172,-32.76349,52.07151
173,-32.76788,52.06678
174,-32.773804,52.056152
175,-32.768513,52.061676
176,-18.153645,-51.8754
177,-18.091063,-51.888077
178,-18.117258,-51.8839
179,-18.137959,-51.879585
180,-18.025175,-51.893394
181,-18.056675,-51.890026
182,-17.98565,-51.897453
183,-17.94505,-51.901047
184,-17.895878,-51.905903
185,-17.842386,-51.90972
186,-17.612944,-51.919613
187,-17.586153,-51.92125
188,-17.657011,-51.918396
189,-17.79323,-51.91247
190,-17.69323,-51.916687
191,-17.74193,-51.914467
192,-70.58687,-5.216645
193,-25.54061,60.664524
194,-25.470089,60.651028
195,-25.502588,60.65598
196,-24.912786,60.55116
197,-24.78946,60.526386
198,-25.014036,60.572376
199,-25.124624,60.592945
200,-25.227882,60.61294
201,-25.306583,60.625042
202,-25.378305,60.636242
203,-25.42229,60.642727
204,-24.537477,60.48053
205,-24.439526,60.463886
206,-24.69048,60.507618
207,-24.59726,60.491165
208,-24.377142,60.455326
209,-24.336819,60.450596
210,-24.297617,60.446552
211,-24.223806,60.446613
212,-24.25015,60.443314
213,-18.000673,-56.295654
214,-18.08184,-56.39878
215,-18.098452,-56.406822
216,-18.066446,-56.38699
217,-18.109768,-56.414112
218,-18.130594,-56.428005
219,-18.123688,-56.422432
220,-18.1432,-56.43552
221,-18.052454,-56.375523
222,-18.038433,-56.361485
223,-18.027557,-56.349537
224,-18.019201,-56.338043
225,-18.005266,-56.31231
226,-18.01211,-56.325935
227,-18.15257,-56.441742
228,-70.192444,-5.492507
229,-70.203766,-5.5104246
230,-70.156685,-5.45743
231,-70.17798,-5.476283
232,-70.12988,-5.43718
233,-70.08891,-5.409993
234,-40.434475,53.54909
235,-40.429077,53.54459
236,-40.432636,53.546642
237,-40.409008,53.520206
238,-40.413155,53.527523
239,-40.41517,53.530144
240,-40.416542,53.53253
241,-40.423817,53.54001
242,-40.426105,53.54268
243,-40.418385,53.53538
244,-40.42337,53.53794
245,-55.56792,-43.27973
246,-55.567226,-43.27475
247,-55.56672,-43.264927
248,-55.569115,-43.256344
249,-55.57887,-43.302567
250,-55.581512,-43.30585
251,-55.571106,-43.289394
252,-55.5699,-43.28563
253,-55.574306,-43.294662
254,-55.576992,-43.29914
255,-54.509422,-43.789394
256,-54.511017,-43.796013
257,-54.51087,-43.79294
258,-54.51053,-43.79938
259,-54.50969,-43.801704
260,-54.506596,-43.805485
261,-54.502247,-43.80998
262,-54.49636,-43.81483
263,-54.48789,-43.82242
264,-22.655857,-30.730982
265,-22.620287,-30.7592
266,-22.58557,-30.78174
267,-22.542496,-30.811575
268,-22.496227,-30.84208
269,-22.437502,-30.87669
270,-22.27965,-30.966389
271,-22.36145,-30.92111
272,-22.168013,-31.025362
273,-22.058926,-31.083158
274,-21.946768,-31.143711
275,-21.826994,-31.20873
276,-21.678675,-31.291569
277,-21.433174,-31.438007
278,-21.532866,-31.37771
279,-21.03304,-31.70314
280,-21.117517,-31.6432
281,-21.227955,-31.56961
282,-21.311264,-31.514248
283,-20.837032,-31.848173
284,-20.790222,-31.882605
285,-20.882288,-31.813946
286,-20.94825,-31.76608
287,-20.71073,-31.939396
288,-20.7581,-31.906982
289,-20.728676,-31.927944
290,-36.672237,-34.09903
291,-36.639812,-34.09328
292,-36.693638,-34.096996
293,-36.73588,-34.102627
294,-36.415695,-34.06146
295,-36.48932,-34.07273
296,-36.601963,-34.088375
297,-36.544678,-34.079914
298,-36.117146,-34.017815
299,-36.174896,-34.02466
300,-36.256462,-34.036167
301,-36.330864,-34.047707
302,-35.999405,-34.002865
303,-36.04596,-34.009106
304,-35.937756,-33.998646
305,-35.886513,-33.998554
306,-35.8516,-33.996933
307,-35.82026,-33.995758
308,-35.790947,-33.99295
309,-21.055758,79.96237
310,-21.109745,79.95577
311,-21.173725,79.94764
312,-21.252275,79.93767
313,-21.367664,79.92278
314,-21.608803,79.897766
315,-21.500137,79.90835
316,-22.187553,79.86263
317,-22.040876,79.86893
318,-21.873291,79.8792
319,-21.757988,79.88652
320,-22.637281,79.85669
321,-22.778896,79.86135
322,-22.51368,79.8556
323,-22.361423,79.857025
324,-23.209934,79.88331
325,-23.073435,79.87545
326,-22.889013,79.865486
327,-22.99772,79.87117
328,-23.372137,79.89457
329,-23.435558,79.89819
330,-23.539423,79.90631
331,-23.504871,79.90281
332,-23.572908,79.91161
333,-20.969406,79.97458
334,-21.005018,79.96932
335,-20.935797,79.97836
336,-20.909103,79.98207
337,-20.881084,79.98453
338,-65.42014,-10.170233
339,-65.41891,-10.167704
340,-65.416695,-10.165504
341,-65.42268,-10.173886
342,-65.428635,-10.180426
343,-65.425835,-10.17851
344,-65.43666,-10.180234
345,-65.432495,-10.180907
346,-65.440285,-10.180925
347,-30.524889,-23.689426
348,-30.448826,-23.699762
349,-30.488344,-23.694113
350,-30.323929,-23.731762
351,-30.267265,-23.750952
352,-30.00247,-23.85915
353,-29.902428,-23.904863
354,-30.067907,-23.832134
355,-30.18755,-23.77934
356,-29.42268,-24.16348
357,-29.552038,-24.086866
358,-29.795448,-23.955854
359,-29.663216,-24.024887
360,-29.03582,-24.434263
361,-29.093666,-24.386683
362,-29.194744,-24.314669
363,-29.294971,-24.246563
364,-28.915085,-24.53305
365,-28.96118,-24.496452
366,-28.85693,-24.580185
367,-28.805916,-24.617586
368,-28.771973,-24.6435
369,-28.744267,-24.66604
370,-28.71759,-24.687357
371,-23.805525,-31.938015
372,-23.778969,-31.980055
373,-23.75008,-32.025993
374,-23.715872,-32.082134
375,-23.660551,-32.166557
376,-23.543825,-32.328938
377,-23.595398,-32.257973
378,-23.142033,-32.758106
379,-23.267326,-32.638348
380,-23.38971,-32.511917
381,-23.460257,-32.430965
382,-22.669256,-33.198193
383,-22.506748,-33.35399
384,-22.809317,-33.068565
385,-22.975266,-32.913597
386,-22.068535,-33.81103
387,-22.189247,-33.674973
388,-22.38116,-33.47819
389,-22.264177,-33.597393
390,-21.995089,-33.8992
391,-21.948797,-33.95699
392,-21.905394,-34.011463
393,-21.82586,-34.10352
394,-21.855968,-34.07207
395,-23.831562,-31.891506
396,-3.7397761,77.58552
397,-3.7073312,77.5907
398,-3.674888,77.596375
399,-3.7964087,77.57466
400,-3.846326,77.56763
401,-3.898311,77.5596
402,-4.1725445,77.53117
403,-4.283211,77.51936
404,-4.098776,77.537636
405,-3.9770656,77.54961
406,-4.82196,77.48663
407,-4.678677,77.49344
408,-4.4022355,77.509735
409,-4.5530357,77.49997
410,-5.2270203,77.47534
411,-5.1641645,77.476234
412,-5.0628567,77.47884
413,-4.9604354,77.48255
414,-5.3426604,77.47344
415,-5.298814,77.47538
416,-5.3970156,77.47245
417,-5.443735,77.47062
418,-5.4782248,77.46741
419,-42.96143,51.610527
420,-42.941048,51.56403
421,-42.97985,51.657223
422,-42.86075,51.42696
423,-42.889862,51.474754
424,-42.922832,51.531967
425,-42.9033,51.499916
426,-42.836136,51.388664
427,-42.81663,51.355495
428,-42.796825,51.31978
429,-42.740543,51.210007
430,-42.756023,51.242805
431,-42.771606,51.27108
432,-42.72864,51.177982
433,-42.71799,51.15108
434,-48.09627,-53.41265
435,-48.119663,-53.40366
436,-48.1492,-53.392036
437,-48.176598,-53.38217
438,-48.478954,-53.262985
439,-48.632317,-53.1963
440,-48.404728,-53.29331
441,-48.32519,-53.32553
442,-48.22006,-53.365986
443,-48.259518,-53.351624
444,-48.71109,-53.159683
